P02766,TTR
P25054,APC
Q9UIF7,MUTYH
P06396,GSN
P35354,PTGS2
P35222,CTNNB1
P02647,APOA1
P02649,APOE
P16860,NPPB
P61769,B2M
P02753,RBP4
,MFT2
,MIA-RAB4B
,MTCO2P12
Q96P20,NLRP3
P10909,CLU
P12107,COL11A1
P02741,CRP
P14091,CTSE
Q9NQC7,CYLD
P20853,CYP2A7
Q15109,AGER
Q12882,DPYD
P05198,EIF2S1
P41091,EIF2S3
P01588,EPO
P02768,ALB
Q12884,FAP
P47895,ALDH1A3
P35555,FBN1
P78333,GPC5
,PART1
P01275,GCG
P16278,GLB1
P81274,GPSM2
P10997,IAPP
P05231,IL6
P22301,IL10
P01116,KRAS
P80188,LCN2
P09848,LCT
Q8WVX3,C4orf3
P40692,MLH1
P14780,MMP9
P22897,MRC1
P43246,MSH2
P00403,COX2
P36639,NUDT1
P07196,NEFL
P01138,NGF
P46531,NOTCH1
P20783,NTF3
P01009,SERPINA1
P14555,PLA2G2A
Q13522,PPP1R1A
P10082,PYY
Q92781,RDH5
P12271,RLBP1
P54253,ATXN1
Q99700,ATXN2
P21810,BGN
Q9H2S6,TNMD
Q9H816,DCLRE1B
P37840,SNCA
P19474,TRIM21
P61278,SST
P15692,VEGFA
P01282,VIP
O00555,CACNA1A
P27797,CALR
Q16674,MIA
Q9Y2T1,AXIN2
P42574,CASP3
P20042,EIF2S2
